guid,crc?,<PageAttr>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f13152bc-72bf-4dad-a7aa-18b316c115ff,2774670370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_040_10,"<CAM:5>まずは色々な環境生物を探して、
どんな能力があるか確かめていこう！","<CAM:5>Have a look around for other Endemic
Life, and then play around with them
to see what kinds of effects they have!","<CAM:5>Examine tes alentours pour
détecter la Faune locale, puis fais des
essais pour voir ce qu'elle t'apporte !","<CAM:5>Cerca le altre forme di fauna endemica,
poi provale per scoprire i loro effetti!","<CAM:5>Sieh dich nach anderen Einheimischen
Wesen um, dann spiel mit ihnen rum und
schau, was für Effekte sie haben!","<CAM:5>Echa un vistazo a la fauna local de los
alrededores y prueba qué clase de efectos
otorga.","<CAM:5>Ищи разную живность и изучай ее,
чтобы узнать, какие у нее эффекты!","<CAM:5>Rozejrzyj się za innymi
okazami lokalnej fauny, a później
wypróbuj je, żeby sprawdzić ich efekty!",,,"<CAM:5>Procure outras formas de Vida Nativa
por aí e, então, teste-as para ver
que efeitos elas possuem!","<CAM:5>우선 다양한 환경생물을 찾아보면서
어떤 능력을 가졌는지 확인해 보자!","<CAM:5>首先就來尋找各式各樣的環境生物，
看看牠們擁有哪些能力吧！","<CAM:5>先去寻找各种环境生物，
确认一下它们都有些什么能力吧！",,,,,,,,"<CAM:5>فلتلقِ نظرة على أشكال الحياة
المستوطنة الأخرى، ثم العب بالجوار معها
لمعرفة أنواع التأثيرات التي تُحدثها!",,,,,,,,,,,
da1142b6-f713-4f00-9d76-6a30232ae7f7,1866547918,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_040_11,"さあ、あともう少しだ！
ついておいで。","OK, just a li'l bit more!
Follow me.","Allez, il est temps de continuer !
Suis-moi.","OK, manca poco. Seguimi!","Okay, nur noch ein wenig mehr!
Folge mir.","Venga, ya casi hemos terminado.
Sígueme.","Так, и еще кое-что!
Иди за мной!",Już niewiele zostało! Chodź za mną.,,,"Tá, só mais um pouquinho!
Chega mais.","자, 얼마 안 남았다!
따라 오거라!","好了，訓練就快結束了！
跟上來吧。","好了，就差一点了！
快跟上。",,,,,,,,"حسنًا، فقط القليل من ذلك!
اتبعني.",,,,,,,,,,,
d0461f85-165d-4ff2-b5d8-13d4135178e1,4069622211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,150,QD_QN030101_nid103_050_00,"<CAM:12>順調だね！　愛弟子！
ガルクでの移動には慣れたかな？","<CAM:12>Right on, Ace!
Got the hang of riding Palamutes already?","<CAM:12>C'est ça, l'artiste ! Alors, tu t'en sors
avec les Chumskys, on dirait ?","<CAM:12>Ottimo lavoro, <LSNR {campione} {campionessa}>!
Hai già imparato a cavalcare i Canyne?","<CAM:12>Große Klasse, Ass! Hast den Dreh beim Reiten
von Palamutes schon raus, was?","<CAM:12>No lo estás haciendo nada mal, hacha.
¿Cómo ves eso de montar en Canyne?","<CAM:12>Отлично, ас!
Уже удалось научиться ездить
на Паламутах?","<CAM:12>Tak jest, <LSNR {szefie} {szefowo}>!
Umiesz już jeździć na kumpsach?",,,"<CAM:12>Maravilha, Craque!
Já pegou o jeito de montar Amicães?","<CAM:12>순조롭구나! 애제자여!
가루크로 이동하는 건 익숙해졌느냐?","<CAM:12>挺順利的呢！愛徒！
你已經習慣如何靠加爾克移動了嗎？","<CAM:12>挺顺利的嘛！爱徒！
你已经习惯骑乘牙猎犬移动了吗？",,,,,,,,"<CAM:12>استمر أيها البارع! هل تولّيت
زمام ركوب البالاموت بالفعل؟",,,,,,,,,,,
9fdb7a51-1ca2-4a7e-941a-b293d59fba2b,392190411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_01,"広いフィールドを移動するには
とても頼りになるオトモだよね。","They're super helpful Buddies,
especially when you need to
cover a lot of ground!","Ces Pilpoils sont super utiles,
surtout pour se déplacer sur
de longues distances !","Sono compagni molto utili, soprattutto
per percorrere aree molto grandi.","Sie sind echt hilfreiche Buddys, vor allem,
wenn du große Wegstrecken zurücklegen
musst!","Vienen de lujo, sobre todo cuando tienes que
recorrer largas distancias.","Эти спутники очень полезны,
особенно когда надо преодолеть
большое расстояние!","To bardzo pomocni kompani, zwłaszcza,
gdy musisz pokonać duży dystans.",,,"Eles são Amigos muito úteis,
especialmente quando você
precisa cobrir muito terreno!","넓은 필드를 이동할 때
굉장히 믿음직한 동반자라고 할 수 있지.","在寬闊原野上移動的時候，
是不是覺得牠們很可靠啊？","牙猎犬是非常可靠的随从，
在宽广的原野上移动可少不了它。",,,,,,,,"إنهم مفيدون للغاية،
خاصة عند الحاجة إلى
تغطية مساحة كبيرة من الأرض!",,,,,,,,,,,
c2e8bab9-c3c1-41ce-887a-0a4b2423b2ce,2278486558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_02,"しかも、搭乗した状態で指示すれば
ガルクが搭乗攻撃をしてくれるんだ！","And you can even tell them to
attack while you're riding 'em!","Et en plus tu peux les faire attaquer
en chevauchant !","E puoi anche ordinargli di attaccare
mentre li cavalchi.","Du kannst ihnen während des Ritts sogar
das Kommando zum Angriff geben!","Y aún hay más, también puedes decirles que
ataquen mientras montas en ellos.","А если скомандуешь им атаковать,
когда сидишь на их спине, они атакуют!","A kiedy jesteś na ich grzbiecie,
możesz nawet nakazać im atak!",,,"E você pode até mandá-los atacar
enquanto estiver montando eles!","게다가 탑승한 상태에서 지시를 내리면
가루크가 탑승 공격도 한단다!","而且，如果在騎乘狀態時下達指令，
加爾克就會進行騎乘攻擊喔！","而且，在骑乘状态下发出指示，
就能让牙猎犬进行骑乘攻击！",,,,,,,,"و يمكنك مطالبتها حتى
بالهجوم أثناء ركوبك عليها!",,,,,,,,,,,
d706d868-8eb2-417e-9c82-a71691929b21,1252504667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_03,"ただ、やはりハンターの攻撃よりは
威力は下がってしまうからね。","But their attacks won't be as
strong as yours...","Mais leurs attaques ne seront pas aussi
puissantes que les tiennes...","Ma i loro attacchi non saranno potenti
come i tuoi...","Aber ihre Angriffe sind nicht so stark
wie deine...","Pero ten en cuenta que no causarán tanto daño
a los enemigos como causarías tú.","Правда, не так эффективно, как ты...","Pamiętaj jednak, że nie zadadzą wrogowi
tyle obrażeń co ty...",,,"Mas os ataques deles não serão
tão fortes quanto os seus...","하지만 헌터가 직접 공격하는 것보다
위력이 떨어지니까.",雖然威力還是比不上獵人的攻擊啦。,"不过，攻击的威力
可比不上猎人啊。",,,,,,,,"إلا إن هجماتها لن تكون بنفس
القوة التي لديك...",,,,,,,,,,,
ab364da3-3c52-4294-ae42-489b9ae73471,3629233631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_04,"モンスターを狩猟するときは、
基本的にはガルクから降りた方がいいよ。","So when you're ready to get down
to business, it's best to dismount.","Alors, si tu veux passer aux choses sérieuses,
mieux vaut descendre de ta monture.","Quindi è meglio smontare quando sarai
<LSNR {pronto} {pronta}> per la caccia vera e propria.","Deshalb solltest du besser absitzen,
wenn die heiße Phase der Jagd beginnt.","Por esa razón, cuando tengas pensado ponerte
en serio con una cacería, lo mejor que puedes
hacer es desmontar del Canyne.","Так что перед серьезным боем
лучше спешиваться.","Dlatego kiedy zacznie się poważna walka,
lepiej zejść z kumpsa.",,,"Portanto, quando você achar que tá
na hora de botar a mão na massa,
é melhor desmontar.","기본적으로 몬스터를 사냥할 때는
가루크에서 내린 뒤에 공격하는 게 좋다.","狩獵魔物的時候，
原則上還是從加爾克身上下來比較好喔。","所以你在狩猎怪物时，
还是从牙猎犬上下来会比较好。",,,,,,,,"لذا عندما تكون على أهبة الاستعداد
لبدء المهمة، يُفضّل النزول.",,,,,,,,,,,
16ea57fb-cbfd-4167-9e21-c0b60219b9cf,3849364752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_05,"<CAM:13>…おや？
モンスターの気配が近いね。","<CAM:13>Oh! Looks like we got ourselves
some monsters nearby.","<CAM:13>Oh ! On dirait bien que des monstres
approchent.","<CAM:13>Oh! A quanto pare, ci sono dei mostri
nei paraggi.","<CAM:13>Oh! Sieht aus, als wären ein paar
Monster in der Nähe.","<CAM:13>Oh, parece que hay monstruos cerca...","<CAM:13>О! Кажется, у нас тут
рядом монстры.","<CAM:13>Och! Wygląda na to, że
w pobliżu kręci się jakiś potwór.",,,"<CAM:13>Ah! Parece que temos alguns
monstros nas redondezas.","<CAM:13>…음?
근처에 몬스터의 기척이 있다.","<CAM:13>……哦？
這附近有魔物的氣息呢。","<CAM:13>……哎呀？
附近有怪物呢。",,,,,,,,"<CAM:13>أوه يبدو أن لدينا
بعض الوحوش بالجوار.",,,,,,,,,,,
ab6c3680-078b-4c7c-932f-cb6a427ca052,2629887479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_06,"<CAM:12>体力やスタミナは大丈夫かな？
常に自分の状態は把握しておくんだよ。","<CAM:12>How are your health and stamina
looking? Be sure to keep tabs on
your status while out in the field.","<CAM:12>La vie, l'endurance, ça va ? N'oublie
pas de surveiller tes statistiques
en chassant, c'est important.","<CAM:12>Come vanno la salute e la resistenza?
Ricorda sempre di controllare il tuo
stato generale quando sei a caccia.","<CAM:12>Wie steht's um deine Gesundheit und Ausdauer?
Pass auf, dass du deinen allgemeinen Status
draußen im Feld immer im Auge behältst.","<CAM:12>¿Qué tal vas de salud y resistencia?
Acostúmbrate a ir comprobando de vez en
cuando el estado en el que te encuentras.","<CAM:12>Как твои дела со здоровьем и
выносливостью? На охоте надо следить
за своим состоянием.","<CAM:12>Jak tam u ciebie ze zdrowiem
i wytrzymałością? Warto znać swój stan,
gdy jesteś w terenie.",,,"<CAM:12>Como estão sua vida e seu vigor?
Não esqueça de conferir seu status
enquanto estiver em campo.","<CAM:12>체력과 스태미나는 괜찮느냐?
항상 자신의 상태는 잘 파악해 둬야 한다.","<CAM:12>你的體力和耐力還充足嗎？
記得要隨時掌握自己的狀態喔。","<CAM:12>体力和耐力有没有问题？
一定要经常注意自己的状态啊。",,,,,,,,"<CAM:12>كيف حال
صحتك وقوة تحملك؟ تأكد من مراقبة
حالتك عندما تكون في الميدان.",,,,,,,,,,,
cc50d238-df3c-4a58-997d-1d2754350003,1489085959,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_050_07,"準備ができたらついてきてくれ。
いよいよ狩猟開始だ！","When you're ready, let's head up
this way; it's time to really get
this show on the road!","Allez, quand tu seras <LSNR {prêt} {prête}>, c'est
par là ! Passons aux choses sérieuses !","Quando sei <LSNR {pronto} {pronta}>, vieni da questa
parte. È ora di cominciare!","Wenn du so weit bist, komm hier lang.
Jetzt fängt der Spaß erst richtig an!","Ven por aquí cuando estés <LSNR {listo} {lista}>, que ya va
tocando ponerse en serio con el tema.","Когда будешь <LSNR {готов} {готова}>, отправляйся сюда,
пора устроить представление!","Kiedy będziesz <LSNR {gotowy} {gotowa}>, ruszajmy tędy.
Pora zacząć zabawę!",,,"Quando estiver com tudo pronto,
vamos por aqui; tá na hora de
botar pra quebrar!","준비가 다 되면 날 따라와라.
이제 사냥을 시작해 보자!","準備好之後就跟我來吧。
我們終於要開始狩獵了！","准备好了就跟我来。
终于要开始狩猎了！",,,,,,,,"عندما تكون على أهبة الاستعداد،دعنا
نسلك هذا الطريق؛ فقد حان الوقت أخيرًا
للقيام بهذا العرض على الطريق!",,,,,,,,,,,
5675a15a-2395-40d5-a45a-38b5c018b077,1289828268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,150,QD_QN030101_nid103_051_00,"<CAM:12>ライゴウには乗ってこなかったのかな？
改めて説明すると、ガルクに近付いて
<ICON PAD_A>を押し続けると搭乗ができるよ。","<CAM:12>Decided to travel on foot this time?
Well, just remember: All you gotta do is
hold <ICON PAD_A> next to a Palamute to ride it.","<CAM:12>Tu voyages à pied cette fois ?
C'est toi qui vois ! Appuie sur
<ICON PAD_A> près d'un Chumsky pour l'enfourcher.","<CAM:12>Stavolta hai deciso di andare a piedi?
Beh, ricorda: tieni premuto <ICON PAD_A> vicino
a un compagno Canyne per cavalcarlo.","<CAM:12>Wolltest wohl lieber zu Fuß gehen, was?
Gut, aber denk dran: Du reitest einen Palamute,
indem du <ICON PAD_A> neben ihm gedrückt hältst.","<CAM:12>¿Te has decidido a ir a pie esta vez?
Recuerda que basta con mantener <ICON PAD_A>
junto a un camarada Canyne para montar.","<CAM:12>Хочешь добраться пешком?
Главное, запомни: чтобы сесть на
Паламута, удерживай <ICON PAD_A> рядом с ним.","<CAM:12>Znów podróżujesz na piechotę?
Cóż, pamiętaj: wystarczy przytrzymać
<ICON PAD_A> obok kumpsa, aby go dosiąść.",,,"<CAM:12>Resolveu viajar à pé dessa vez?
Lembre-se: é só segurar <ICON PAD_A> ao lado de um
Amicão pra montá-lo.","<CAM:12>라이고를 타고 오지 않았느냐?
다시 설명하자면 가루크에게 다가간 뒤
<ICON PAD_A>를 누르고 있으면 탑승할 수 있다.","<CAM:12>你沒有騎著雷轟來嗎？
我再說明一次，在加爾克附近
長按<ICON PAD_A>就可以騎乘了喔。","<CAM:12>你没有骑着雷轰过来吗？
我再说明一次，接近牙猎犬后
长按<ICON PAD_A>就能骑乘。",,,,,,,,"<CAM:12>هل قرّرت السفر سيرًا على الأقدام هذه المرة؟
حسنًا فلتتذكر: كل ما عليك فعله هو
الضغط باستمرار على <ICON PAD_A> بجوار بالاموت لركوبه.",,,,,,,,,,,
c5bef8d5-8709-4ed2-9c0e-51621399a858,666540919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_01,"しかも、搭乗した状態で指示すれば
ガルクが搭乗攻撃をしてくれるんだ！","And you can even tell them to
attack while you're riding 'em!","Et tu peux les faire attaquer
en chevauchant, en plus !","E puoi anche ordinargli di attaccare
mentre li cavalchi.","Du kannst ihnen während des Ritts sogar
das Kommando zum Angriff geben!","Y aún hay más, también puedes decirles que
ataquen mientras montas en ellos.","А если скомандуешь им атаковать,
когда сидишь на их спине, они атакуют!","A kiedy jesteś na ich grzbiecie,
możesz nawet nakazać im atak!",,,"E você pode até mandá-los atacar
enquanto estiver montando eles!","게다가 탑승한 상태에서 지시를 내리면
가루크가 탑승 공격도 한단다!","而且，如果在騎乘狀態時下達指令，
加爾克就會進行騎乘攻擊喔！","而且，在骑乘状态下发出指示，
就能让牙猎犬进行骑乘攻击！",,,,,,,,"و يمكنك مطالبتها حتى
بالهجوم أثناء ركوبك عليها!",,,,,,,,,,,
32719ab9-768d-4331-aae3-58a13d361b03,3067384878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_02,"ただ、やはりハンターの攻撃よりは
威力は下がってしまうからね。","But their attacks won't be as
strong as yours...","Mais leurs attaques ne seront pas aussi
puissantes que les tiennes...","Ma i loro attacchi non saranno potenti
come i tuoi...","Aber ihre Angriffe sind nicht so stark
wie deine...","Pero ten en cuenta que no causarán tanto daño
a los enemigos como causarías tú.","Правда, не так эффективно, как ты...","Pamiętaj jednak, że nie zadadzą wrogowi
tyle obrażeń co ty...",,,"Mas os ataques deles não serão
tão fortes quanto os seus...","하지만 헌터가 직접 공격하는 것보다
위력이 떨어지니까.",雖然威力還是比不上獵人的攻擊啦。,"不过，攻击的威力
可比不上猎人啊。",,,,,,,,"إلا إن هجماتها لن تكون بنفس
القوة التي لديك...",,,,,,,,,,,
ea78eaf7-1b0c-4507-9011-6b617741481c,4041720355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_03,"モンスターを狩猟するときは、
基本的にはガルクから降りた方がいいよ。","So when you're ready to get down
to business, it's best to dismount.","Alors, si tu veux passer aux choses sérieuses,
mieux vaut descendre de ta monture.","Quindi è meglio smontare quando sarai
<LSNR {pronto} {pronta}> per la caccia vera e propria.","Deshalb solltest du besser absitzen,
wenn die heiße Phase der Jagd beginnt.","Por esa razón, cuando tengas pensado ponerte
en serio con una cacería, lo mejor que puedes
hacer es desmontar del Canyne.","Так что перед серьезным боем
лучше спешиваться.","Dlatego kiedy zacznie się poważna walka,
lepiej zejść z kumpsa.",,,"Portanto, quando você achar que tá
na hora de botar a mão na massa,
é melhor desmontar.","기본적으로 몬스터를 사냥할 때는
가루크에서 내린 뒤에 공격하는 게 좋다.","狩獵魔物的時候，
原則上還是從加爾克身上下來比較好喔。","所以你在狩猎怪物时，
还是从牙猎犬上下来会比较好。",,,,,,,,"لذا عندما تكون على أهبة الاستعداد
لبدء المهمة، يُفضّل النزول.",,,,,,,,,,,
521b3a1f-2b6d-4a70-8b98-bccb6577f133,3634217247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_04,"<CAM:13>…おや？
モンスターの気配が近いね。","<CAM:13>Oh! Looks like we got ourselves
some monsters nearby.","<CAM:13>Oh ! On dirait bien que des monstres
approchent.","<CAM:13>Oh! A quanto pare, ci sono dei mostri
nei paraggi.","<CAM:13>Oh! Sieht aus, als wären ein paar
Monster in der Nähe.","<CAM:13>Oh, parece que hay monstruos cerca...","<CAM:13>О! Кажется, у нас тут
рядом монстры.","<CAM:13>Och! Wygląda na to, że
w pobliżu kręci się jakiś potwór.",,,"<CAM:13>Ah! Parece que temos alguns
monstros nas redondezas.","<CAM:13>…음?
근처에 몬스터의 기척이 있다.","<CAM:13>……哦？
這附近有魔物的氣息呢。","<CAM:13>……哎呀？
附近有怪物呢。",,,,,,,,"<CAM:13>أوه يبدو أن لدينا
بعض الوحوش بالجوار.",,,,,,,,,,,
eea97668-8fb0-45d1-90d3-498df1f73ce5,1464299086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_05,"<CAM:12>体力やスタミナは大丈夫かな？
常に自分の状態は把握しておくんだよ。","<CAM:12>How are your health and stamina
looking? Be sure to keep tabs on
your status while out in the field.","<CAM:12>La vie, l'endurance, ça va ? N'oublie
pas de surveiller tes statistiques
en chassant, c'est important.","<CAM:12>Come vanno la salute e la resistenza?
Ricorda sempre di controllare il tuo
stato generale quando sei a caccia.","<CAM:12>Wie steht's um deine Gesundheit und Ausdauer?
Pass auf, dass du deinen allgemeinen Status
draußen im Feld immer im Auge behältst.","<CAM:12>¿Qué tal vas de salud y resistencia?
Acostúmbrate a ir comprobando de vez en
cuando el estado en el que te encuentras.","<CAM:12>Как твои дела со здоровьем и
выносливостью? На охоте надо следить
за своим состоянием.","<CAM:12>Jak tam u ciebie ze zdrowiem
i wytrzymałością? Warto znać swój stan,
gdy jesteś w terenie.",,,"<CAM:12>Como estão sua vida e seu vigor?
Não esqueça de conferir seu status
enquanto estiver em campo.","<CAM:12>체력과 스태미나는 괜찮느냐?
항상 자신의 상태는 잘 파악해 둬야 한다.","<CAM:12>你的體力和耐力還充足嗎？
記得要隨時掌握自己的狀態喔。","<CAM:12>体力和耐力有没有问题？
一定要经常注意自己的状态啊。",,,,,,,,"<CAM:12>كيف حال
صحتك وقوة تحملك؟ تأكد من مراقبة
حالتك عندما تكون في الميدان.",,,,,,,,,,,
6b18a947-04a0-4401-89d3-48757809976a,3499385648,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_051_06,"準備ができたらついてきてくれ。
いよいよ狩猟開始だ！","When you're ready, let's head up
this way; it's time to really get
this show on the road!","Allez, quand tu seras <LSNR {prêt} {prête}>, c'est
par là ! Passons aux choses sérieuses !","Quando sei <LSNR {pronto} {pronta}>, vieni da questa
parte. È ora di cominciare!","Wenn du so weit bist, komm hier lang.
Jetzt fängt der Spaß erst richtig an!","Ven por aquí cuando estés <LSNR {listo} {lista}>, que ya va
tocando ponerse en serio con el tema.","Когда будешь <LSNR {готов} {готова}>, отправляйся сюда,
пора устроить представление!","Kiedy będziesz <LSNR {gotowy} {gotowa}>, ruszajmy tędy.
Pora zacząć zabawę!",,,"Quando estiver com tudo pronto,
vamos por aqui; tá na hora de
botar pra quebrar!","준비가 다 되면 날 따라와라.
이제 사냥을 시작해 보자!","準備好之後就跟我來吧。
我們終於要開始狩獵了！","准备好了就跟我来。
终于要开始狩猎了！",,,,,,,,"عندما تكون على أهبة الاستعداد،دعنا
نسلك هذا الطريق؛ فقد حان الوقت أخيرًا
للقيام بهذا العرض على الطريق!",,,,,,,,,,,
9586f7ee-6665-4369-80ed-b74791e2edb4,4097754971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,160,QD_QN030101_nid103_060_00,"<CAM:42,43,10><EMTUTO_DISP>イズチの群れだね。
３頭、すべて討伐しよう！","<CAM:42,43,10><EMTUTO_DISP>Gnarly! A pack of Izuchi.
Alright, there's three of 'em.
Go take 'em out for me!","<CAM:42,43,10><EMTUTO_DISP>Ouah ! Une meute d'Izuchi.
Bon, il y en a trois...
Occupe-toi d'eux pour moi !","<CAM:42,43,10><EMTUTO_DISP>Accidenti, un branco di Izuchi! 
Ce ne sono tre. Vai a sconfiggerli!","<CAM:42,43,10><EMTUTO_DISP>Klasse! Ein Rudel Izuchi. Es sind drei Stück.
Erledige sie für mich!","<CAM:42,43,10><EMTUTO_DISP>Mira allí, son Izuchi.
Venga, ¡cacemos a los tres!","<CAM:42,43,10><EMTUTO_DISP>Ну и ну! Стая Идзути.
Их там три особи.
Иди и расправься с ними!","<CAM:42,43,10><EMTUTO_DISP>Ale jazda! To stado Izuchich.
Dobra, jest ich trójka.
Ubij je wszystkie!",,,"<CAM:42,43,10><EMTUTO_DISP>Irado! Um bando de Izuchis.
Beleza, tem três deles.
Derruba eles pra mim!","<CAM:42,43,10><EMTUTO_DISP>이즈치 무리로군.
3마리 모두 토벌해 보자!","<CAM:42,43,10><EMTUTO_DISP>是一群鐮鼬龍呢，
把牠們3頭全都討伐掉吧！","<CAM:42,43,10><EMTUTO_DISP>是镰鼬龙群。
一共3头，全都讨伐掉吧！",,,,,,,,"<CAM:42,43,10><EMTUTO_DISP>يا للتعقيد! ثمة حشد من إيزوتشي.
حسنًا هناك ثلاثة منها.
فلتذهب وتتخلص منهم لأجلي!",,,,,,,,,,,
c931ecfe-8c33-42a7-9dc1-137eef4a6a1f,1886218206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_060_01,"小型のモンスターだからといって、
油断しないようにね！","Don't hold back just because
they're small now! They can
be skillful and ruthless!","Pas de pitié ! Ils sont petits, mais vicieux !","Non trattenerti solo perché sono
piccoli! Sanno essere abili e spietati!","Halt dich nicht zurück, nur weil sie klein
sind! Die sind gerne mal geschickt und
skrupellos!","¡Y nada de contenerse solo porque sean
pequeños, ¿eh?! Que pueden tener igualmente
muy mala idea.","Ты не смотри, что они мелкие!
Они умелые и беспощадные
охотники!","Nie odpuszczaj im tylko dlatego, że
są małe! To sprytne i okrutne bestyjki!",,,"Não se acanhe por serem pequenos!
Eles podem ser habilidosos e cruéis!","소형 몬스터라고
방심하지 말거라!","雖說牠們是小型魔物，
但也別大意了喔！","虽说是小型怪物，
但也不要掉以轻心啊！",,,,,,,,"لا تتساهل الآن بسبب
صغر حجمها وحسب! إذ يمكنها
الضرب بمهارة وقسوة!",,,,,,,,,,,
b35a66b2-34ac-4c6e-aa22-5f3a3550271b,2052124734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_060_02,"訓練の成果を発揮できれば
何も問題はないはずだ！","Just remember your training
and you'll be golden!","Souviens-toi de ta formation,
et ce sera un jeu d'enfant !","Ricordati del tuo addestramento
e ce la farai.","Denk einfach an dein Training, dann
packst du das mit links!","Recuerda tu entrenamiento y ya verás lo bien
que te sale.","Помни, чему тебя учили, и дело в шляпе!","Rób to samo, co na treningach, a
wszystko będzie cacy!",,,"Lembre-se do seu treinamento
e vai ser moleza!","훈련의 성과를 발휘한다면
아무런 문제도 없을 거다!","只要你好好發揮訓練成果，
一定沒問題的！","只要发挥训练的成果，
就不会有什么问题！",,,,,,,,"تذكّر تدريبك
وستحقق الفوز!",,,,,,,,,,,
4b607dee-e66a-4970-8110-15e2110edd4a,1588960866,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_060_03,"<EMTUTO_THINK>さあ、武器をしっかりと構えて
確実に攻撃を当てていこう。","<EMTUTO_THINK>Now, ready your weapon, nice
and steady, and take 'em down
one attack at a time.","<EMTUTO_THINK>Prépare ton arme...
Et attaque-les l'un après l'autre.","<EMTUTO_THINK>Ora prepara l'arma, piano,
e attaccali uno alla volta.","<EMTUTO_THINK>Halt deine Waffe bereit, schön ruhig, und
mach sie fertig, immer ein Angriff nach dem
anderen.","<EMTUTO_THINK>Vamos, ten lista tu arma y acaba con ellos
de uno en uno.","<EMTUTO_THINK>Теперь готовь свое оружие, не торопись,
бей их одного за другим, по очереди.","<EMTUTO_THINK>Przygotuj broń, przyjmij postawę
i wyprowadzaj po kolei ataki.",,,"<EMTUTO_THINK>Agora, prepare sua arma, com cuidado,
firme, e execute um ataque por vez.","<EMTUTO_THINK>자, 무기를 들고
확실하게 공격을 맞춰 보자.","<EMTUTO_THINK>來，穩穩地舉起武器，
好好地擊中牠們吧。","<EMTUTO_THINK>上吧，拔出武器，
令攻击准确命中猎物吧。",,,,,,,,"<EMTUTO_THINK>الآن،فلتجهّز سلاحك
بشكل جيد وثابت،ولتقضِ عليها
بهجمة واحدة وأخيرة.",,,,,,,,,,,
00edb394-0943-4cd9-b930-22d310a9d576,3033346848,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,170,QD_QN030101_nid103_070_00,"どうした、愛弟子！
今は狩りに集中したほうがいいぞ！","What's up, Ace? You should be over thrashin'
those Izuchi!","Qu'est-ce qu'il y a ? T'as pas
des Izuchi à dégommer ?!","Che c'è, <LSNR {campione} {campionessa}>?
Dovresti aver già eliminato quegli Izuchi...","Was ist, Ass? Du solltest da drüben sein und
die Izuchi vermöbeln!","¡¿A qué estás esperando, hacha?!
¡Lo que toca ahora es cazar!","Ас, ты чего? Иди
охотиться на Идзути!","Co jest, <LSNR {szefie} {szefowo}>?!
Izuchi same się nie upolują!",,,"E aí, Craque? Você devia tá
arrebentando aqueles Izuchis!","왜 그러느냐! 애제자여!
지금은 사냥에 집중하거라!","怎麼了，愛徒？
你最好還是先專心在討伐魔物上吧！","怎么了，爱徒！
现在还是专心狩猎比较好！",,,,,,,,"كيف الحال أيها البارع؟ يجب أن تكون بالأعلى لهزيمة
حشود إيزوتشي تلك!",,,,,,,,,,,
