ba7f7acf-4955-4ca6-99c1-8b3606f8c499,1786265672,Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_02
76e58ee3-d4b8-489e-8a4c-e4d8bca476b8,1080738839,Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_001_03
546f41dd-f5bc-41f0-89c5-900346b4f262,76439492,Option_Me_Item_002_01,表示する,Display,Afficher,Mostra,Anzeigen,Mostrar,Показывать,Wyświetlaj,,,Exibir,표시하기,顯示,显示,,,,,,,,العرض,,,,,,,,,,,
abb9bdec-7e9b-4c66-a3a4-194f1da1116f,3569714550,Option_Me_Item_002_02,表示しない,Don't Display,Ne pas afficher,Non mostrare,Nicht anzeigen,No mostrar,Не показывать,Nie wyświetlaj,,,Não Exibir,표시 안 함,不顯示,不显示,,,,,,,,عدم العرض,,,,,,,,,,,
087a2703-ba2b-4a80-898d-b25cc643d348,1765399612,Option_Me_Item_003_01,【設定画面を開く】,Open Settings Menu,Configurer,Apri menu impostazioni,Einstellungsmenü öffnen,Abrir menú de ajustes,Открыть меню настроек,Otwórz menu ustawień,,,Abrir Menu de Configurações,【설정 화면 열기】,【開啟設定畫面】,【打开设置画面】,,,,,,,,فتح قائمة الإعدادات,,,,,,,,,,,
1c5ff7f8-e1b4-4b6f-be9c-ac432a41a706,730645305,Option_Me_Item_004_01,常時表示する,Fixed,Fixe,Fisso,Festgelegt,Fijos,Не меняется,Stały,,,Fixo,항상 표시하기,保持顯示,保持显示,,,,,,,,ثابت,,,,,,,,,,,
fa8db81c-67e3-499b-9809-eb5f64d9b5cd,910294304,Option_Me_Item_004_02,常時表示しない,Dynamic,Dynamique,Dinamico,Dynamisch,Dinámicos,Динамическое,Dynamiczne,,,Dinâmico,항상 표시 안 함,不保持顯示,不保持显示,,,,,,,,متحرك,,,,,,,,,,,
2d141485-5a4b-497a-af87-4cd964ef5df1,908646349,Option_Me_Item_005_01,全体マップ,General Map,Carte générale,Mappa generale,Übersichtskarte,Mapa general,Общая карта,Ogólna mapa,,,Mapa Geral,전체 맵,整體地圖,全体地图,,,,,,,,خريطة عامة,,,,,,,,,,,
0109e70d-3898-4528-b6df-94bc7bc6874b,27672405,Option_Me_Item_005_02,拡大マップ,Detailed Map,Carte détaillée,Mappa dettagliata,Detailkarte,Mapa detallado,Подробная карта,Szczegółowa mapa,,,Mapa Detalhado,확대 맵,放大地圖,放大地图,,,,,,,,خريطة مفصلة,,,,,,,,,,,
73951d06-dc28-4277-9c2f-8521fd37ef06,3674604521,Option_Me_Item_006_01,切り替える,Toggle On,Afficher,Attiva,Einschalten,Cambiar activado,Включить,Przełącznik wł.,,,Ligar,전환하기,切換,切换,,,,,,,,تشغيل التبديل,,,,,,,,,,,
2a654163-3034-490c-a0a1-a0cbd4ec8de7,1993333249,Option_Me_Item_006_02,切り替えない,Toggle Off,Ne pas afficher,Disattiva,Ausschalten,Cambiar desactivado,Выключить,Przełącznik wył.,,,Desligar,전환 안 함,不切換,不切换,,,,,,,,إيقاف التبديل,,,,,,,,,,,
4a5ca3d3-5fa2-41a8-891a-9f3073ae177e,3037640629,Option_Me_Item_007_01,ＯＦＦ,Off,Non,No,Aus,Desactivado,Выкл.,Wył.,,,Desligar,OFF,OFF,关,,,,,,,,إيقاف,,,,,,,,,,,
ea0270de-df17-4eca-8df4-b1fbffd1c83f,3003915567,Option_Me_Item_007_02,タイプ１,Type 1,Type 1,Tipo 1,Typ 1,Tipo 1,Тип 1,Typ 1,,,Tipo 1,타입 1,類型1,类型1,,,,,,,,النوع 1,,,,,,,,,,,
64f53b18-f6a2-4fa7-87fc-40a59380e148,4107177157,Option_Me_Item_007_03,タイプ２,Type 2,Type 2,Tipo 2,Typ 2,Tipo 2,Тип 2,Typ 2,,,Tipo 2,타입 2,類型2,类型2,,,,,,,,النوع 2,,,,,,,,,,,
29d768a8-2e10-421a-8ccc-a3c1140be19e,843298952,Option_Me_Item_007_04,タイプ３,Type 3,Type 3,Tipo 3,Typ 3,Tipo 3,Тип 3,Typ 3,,,Tipo 3,타입 3,類型3,类型3,,,,,,,,النوع 3,,,,,,,,,,,
c9f303e1-6d8f-4cf0-9e93-94216cd263be,3648949094,Option_Me_Item_007_05,タイプ４,Type 4,Type 4,Tipo 4,Typ 4,Tipo 4,Тип 4,Typ 4,,,Tipo 4,타입 4,類型4,类型4,,,,,,,,النوع 4,,,,,,,,,,,
dba20fb6-602f-48dd-a488-af3bedfc3608,3795559699,Option_Me_Item_007_06,タイプ５,Type 5,Type 5,Tipo 5,Typ 5,Tipo 5,Тип 5,Typ 5,,,Tipo 5,타입 5,類型5,类型5,,,,,,,,النوع 5,,,,,,,,,,,
ffe9738f-d8d0-4aad-bdb9-d72e48e0c821,3076457753,Option_Me_Item_008_01,表示する,Display,Afficher,Mostra,Anzeigen,Mostrar,Показывать,Wyświetlaj,,,Exibir,표시하기,顯示,显示,,,,,,,,العرض,,,,,,,,,,,
e93d02a9-ed92-4942-a4db-c30ada6b7c51,1554399245,Option_Me_Item_008_02,表示しない,Don't Display,Ne pas afficher,Non mostrare,Nicht anzeigen,No mostrar,Не показывать,Nie wyświetlaj,,,Não Exibir,표시 안 함,不顯示,不显示,,,,,,,,عدم العرض,,,,,,,,,,,
ad901dd0-13e0-4b0d-9d70-224cfa306e49,2704894972,Option_Me_Item_009_01,普通,Normal,Standards,Normale,Normal,Estándar,Обычные,Normalne,,,Normal,보통,普通,普通,,,,,,,,عادي,,,,,,,,,,,
e9c48888-a690-4cca-a501-3fd6c631bd22,2997961401,Option_Me_Item_009_02,控えめ,Less,Réduits,Meno,Weniger,Menos,Меньше,Mniej,,,Menos,적게,較少,减弱,,,,,,,,أقل,,,,,,,,,,,
7a08e86d-aa66-4267-87a0-63153fa6f269,1800672517,Option_Me_Item_010_01,表示する,Display,Afficher,Mostra,Anzeigen,Mostrar,Показывать,Wyświetlaj,,,Exibir,표시하기,顯示,显示,,,,,,,,العرض,,,,,,,,,,,
476832f9-ab4c-4078-802b-dd092ad3a69b,1282246736,Option_Me_Item_010_02,表示しない,Don't Display,Ne pas afficher,Non mostrare,Nicht anzeigen,No mostrar,Не показывать,Nie wyświetlaj,,,Não Exibir,표시 안 함,不顯示,不显示,,,,,,,,عدم العرض,,,,,,,,,,,
b8890ee2-7e6c-4152-8076-4081e39c6b62,210774629,Option_Me_Item_011_01,表示する,Display,Afficher,Mostra,Anzeigen,Mostrar,Показывать,Wyświetlaj,,,Exibir,표시하기,顯示,显示,,,,,,,,العرض,,,,,,,,,,,
ed3f0b10-36d2-4f15-a590-d922327369d6,1484009011,Option_Me_Item_011_02,表示しない,Don't Display,Ne pas afficher,Non mostrare,Nicht anzeigen,No mostrar,Не показывать,Nie wyświetlaj,,,Não Exibir,표시 안 함,不顯示,不显示,,,,,,,,عدم العرض,,,,,,,,,,,
c47cc1e5-5eaf-4679-8b7a-77b17e09e9f2,878490796,Option_Me_Item_012_01,タイプ１,Type 1,Type 1,Tipo 1,Typ 1,Tipo 1,Тип 1,Typ 1,,,Tipo 1,타입 1,類型1,类型1,,,,,,,,النوع 1,,,,,,,,,,,
a9ca53e8-f163-4b41-b02e-a682b4a39505,3590238638,Option_Me_Item_012_02,タイプ２,Type 2,Type 2,Tipo 2,Typ 2,Tipo 2,Тип 2,Typ 2,,,Tipo 2,타입 2,類型2,类型2,,,,,,,,النوع 2,,,,,,,,,,,
231c6210-74ed-459e-9653-aca410141798,1343202537,Option_Me_Item_013_01,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,,,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,<ICON PAD_R>,,,,,,,,<ICON PAD_R>,,,,,,,,,,,
753648d3-afc5-4b24-8ab5-d7685ee30e08,4190989254,Option_Me_Item_013_02,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,,,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,<ICON PAD_ZR>,,,,,,,,<ICON PAD_ZR>,,,,,,,,,,,
b3c02886-ea92-4087-8537-00da3b17216f,199704012,Option_Me_Item_013_03,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,,,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,,,,,,,,<ICON ANALOG_LB>,,,,,,,,,,,
d0b9a628-fd9c-40ab-b524-4bcfba6dc6a1,1552711667,Option_Me_Item_013_04,<ICON ANALOG_LB>または<ICON PAD_R>,<ICON ANALOG_LB> or <ICON PAD_R>,<ICON ANALOG_LB> ou <ICON PAD_R>,<ICON ANALOG_LB> o <ICON PAD_R>,<ICON ANALOG_LB> oder <ICON PAD_R>,<ICON ANALOG_LB> o <ICON PAD_R>,<ICON ANALOG_LB> или <ICON PAD_R>,<ICON ANALOG_LB> lub <ICON PAD_R>,,,<ICON ANALOG_LB> ou <ICON PAD_R>,<ICON ANALOG_LB> 또는 <ICON PAD_R>,<ICON ANALOG_LB>或<ICON PAD_R>,<ICON ANALOG_LB>或<ICON PAD_R>,,,,,,,,<ICON ANALOG_LB> أو <ICON PAD_R>,,,,,,,,,,,
9c6181cd-151a-49e2-865a-d3bb57787944,963944882,Option_Me_Item_013_05,<ICON ANALOG_LB>または<ICON PAD_ZR>,<ICON ANALOG_LB> or <ICON PAD_ZR>,<ICON ANALOG_LB> ou <ICON PAD_ZR>,<ICON ANALOG_LB> o <ICON PAD_ZR>,<ICON ANALOG_LB> oder <ICON PAD_ZR>,<ICON ANALOG_LB> o <ICON PAD_ZR>,<ICON ANALOG_LB> или <ICON PAD_ZR>,<ICON ANALOG_LB> lub <ICON PAD_ZR>,,,<ICON ANALOG_LB> ou <ICON PAD_ZR>,<ICON ANALOG_LB> 또는 <ICON PAD_ZR>,<ICON ANALOG_LB>或<ICON PAD_ZR>,<ICON ANALOG_LB>或<ICON PAD_ZR>,,,,,,,,<ICON ANALOG_LB> أو <ICON PAD_ZR>,,,,,,,,,,,
6f94be08-49a5-419e-8484-8a1939539589,670634807,Option_Me_Item_014_01,短い,Short,Court,Breve,Kurz,Corto,Короткое,Krótkie,,,Curto,짧게,短,短,,,,,,,,قصير,,,,,,,,,,,
b93eb8ac-72a2-4b4c-99ce-345613ef6c14,1279073140,Option_Me_Item_014_02,普通,Medium,Moyen,Normale,Mittel,Estándar,Медиум,Średnie,,,Médio,보통,普通,普通,,,,,,,,متوسط,,,,,,,,,,,
cfef4765-1222-4655-b5bd-c2f932c37be0,3105895858,Option_Me_Item_014_03,長い,Long,Long,Lungo,Lang,Largo,Долгое,Długie,,,Longo,길게,長,长,,,,,,,,طويل,,,,,,,,,,,
2e6e650c-2ad2-499c-b901-c5ce83731d36,1105235622,Option_Me_Item_015_01,タイプ１,Type 1,Type 1,Tipo 1,Typ 1,Tipo 1,Тип 1,Typ 1,,,Tipo 1,타입 1,類型1,类型1,,,,,,,,النوع 1,,,,,,,,,,,
568b1337-87ae-483c-ba0d-911800d01199,1062982878,Option_Me_Item_015_02,タイプ２,Type 2,Type 2,Tipo 2,Typ 2,Tipo 2,Тип 2,Typ 2,,,Tipo 2,타입 2,類型2,类型2,,,,,,,,النوع 2,,,,,,,,,,,
e7bdce36-3b45-42be-b9aa-50a20fb06d38,2401553129,Option_Me_Item_016_01,納刀する,Auto Sheathe,Rengainage automatique,Rinfodero automatico,Automatisches Wegstecken,Envainado automático,Авто. убирать в ножны,Chowanie automatyczne,,,Embainhamento Automático,납도 사용,收刀,纳刀,,,,,,,,غمد السلاح تلقائيًا,,,,,,,,,,,
f4131959-5180-4964-a57a-cd08c281de1c,3490016154,Option_Me_Item_016_02,納刀しない,Manual Sheathe,Rengainage manuel,Rinfodero manuale,Manuelles Wegstecken,Envainado manual,Убирать в ножны вручную,Chowanie manualne,,,Embainhamento Manual,납도 안 함,不收刀,不纳刀,,,,,,,,غمد السلاح يدويًا,,,,,,,,,,,
b9da5f10-e67a-41f2-b3a0-7cf9661a83b4,4205551533,Option_Me_Item_017_01,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,,,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,<ICON ANALOG_LB>,,,,,,,,<ICON ANALOG_LB>,,,,,,,,,,,
886206d4-6c4b-44d3-ad90-917bc72caf1c,3204245469,Option_Me_Item_017_02,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,,,<OPT RT>,<OPT RT>,<OPT RT>,<OPT RT>,,,,,,,,<OPT RT>,,,,,,,,,,,
229f61bb-0d0f-4c56-8fed-d66514226ba2,1905477715,Option_Me_Item_017_03,<ICON ANALOG_LB>または<OPT RT>,<ICON ANALOG_LB> or <OPT RT>,<ICON ANALOG_LB> ou <OPT RT>,<ICON ANALOG_LB> o <OPT RT>,<ICON ANALOG_LB> oder <OPT RT>,<ICON ANALOG_LB> o <OPT RT>,<ICON ANALOG_LB> или <OPT RT>,<ICON ANALOG_LB> lub <OPT RT>,,,<ICON ANALOG_LB> ou <OPT RT>,<ICON ANALOG_LB> 또는 <OPT RT>,<ICON ANALOG_LB>或<OPT RT>,<ICON ANALOG_LB>或<OPT RT>,,,,,,,,<ICON ANALOG_LB> أو <OPT RT>,,,,,,,,,,,
f17d5fda-42d3-46e6-9d70-160b81ef405c,3661850727,Option_Me_Item_018_01,入れ替え無し,Do Not Switch,Ne pas intervertir,Non scambiare,Nicht vertauschen,No intercambiar,Не переключать,Nie zamieniaj,,,Não alternar,교체 없음,不交換,不交换,,,,,,,,عدم التبديل,,,,,,,,,,,
cbc11f8f-8d3e-4e74-9de4-501228eac21c,574181163,Option_Me_Item_018_02,<ICON PAD_L>と<ICON PAD_ZL>のみ,<ICON PAD_L> and <ICON PAD_ZL> only,<ICON PAD_L> et <ICON PAD_ZL> uniquement,Solo <ICON PAD_L> e <ICON PAD_ZL>,Nur <ICON PAD_L> und <ICON PAD_ZL>,Solo <ICON PAD_L> y <ICON PAD_ZL>,Только <ICON PAD_L> и <ICON PAD_ZL>,Tylko <ICON PAD_L> i <ICON PAD_ZL>,,,Apenas <ICON PAD_L> e <ICON PAD_ZL>,<ICON PAD_L>과 <ICON PAD_ZL>만,只交換<ICON PAD_L>與<ICON PAD_ZL>,仅<ICON PAD_L>与<ICON PAD_ZL>,,,,,,,,<ICON PAD_L> و<ICON PAD_ZL> فقط,,,,,,,,,,,
11cc11b4-a808-4b4d-8ffc-69bd247f7345,2157028163,Option_Me_Item_018_03,<ICON PAD_R>と<ICON PAD_ZR>のみ,<ICON PAD_R> and <ICON PAD_ZR> only,<ICON PAD_R> et <ICON PAD_ZR> uniquement,Solo <ICON PAD_R> e <ICON PAD_ZR>,Nur <ICON PAD_R> und <ICON PAD_ZR>,Solo <ICON PAD_R> y <ICON PAD_ZR>,Только <ICON PAD_R> и <ICON PAD_ZR>,Tylko <ICON PAD_R> i <ICON PAD_ZR>,,,Apenas <ICON PAD_R> e <ICON PAD_ZR>,<ICON PAD_R>과 <ICON PAD_ZR>만,只交換<ICON PAD_R>與<ICON PAD_ZR>,仅<ICON PAD_R>与<ICON PAD_ZR>,,,,,,,,<ICON PAD_R> و<ICON PAD_ZR> فقط,,,,,,,,,,,
dd2c7520-1da7-4eaa-b17e-c44ae663eac0,1012256397,Option_Me_Item_018_04,両方入れ替え,Switch Both Pairs,Intervertir les deux,Scambia entrambi,Beide vertauschen,Interc. ambos controles,Переключать обе пары,Zamień obie pary,,,Trocar Ambos os Pares,양쪽 교체,雙方皆交換,双方都交换,,,,,,,,تبديل كلا الزوجين,,,,,,,,,,,
8f80e100-df17-49ad-9c18-d6b734afa5bf,4115895877,Option_Me_Item_019_01,タイプ１,Type 1,Type 1,Tipo 1,Typ 1,Tipo 1,Тип 1,Typ 1,,,Tipo 1,타입 1,類型1,类型1,,,,,,,,النوع 1,,,,,,,,,,,
8b58a343-877b-42e1-b42e-e5be11549542,2290765660,Option_Me_Item_019_02,タイプ２,Type 2,Type 2,Tipo 2,Typ 2,Tipo 2,Тип 2,Typ 2,,,Tipo 2,타입 2,類型2,类型2,,,,,,,,النوع 2,,,,,,,,,,,
0f8c19d7-9e76-45f4-95da-cdcfd4062131,497041931,Option_Me_Item_020_01,アクションスライダー,Action Bar,Barre d'action,Barra azioni,Aktionsleiste,Barra de acciones,Шкала действий,Pasek akcji,,,Barra de Ação,액션 슬라이더,動作快捷鍵,动作快捷栏,,,,,,,,شريط الحركات,,,,,,,,,,,
bbc6a012-3d6f-4d29-b01d-9731e86244fe,975099629,Option_Me_Item_020_02,アイテムウィンドウ,Item Bar,Barre d'objets,Barra oggetti,Objektleiste,Barra de objetos,Панель предметов,Pasek przedmiotów,,,Barra de Itens,아이템 창,道具視窗,道具栏,,,,,,,,شريط العناصر,,,,,,,,,,,
c5f3affb-f0db-41cc-9b8b-4ca3af8c2b2e,620846482,Option_Me_Item_020_03,ターゲットカメラなど,"Target Camera, etc.","Caméra manuelle, etc.","Aggancio manuale, ecc.",Zielkamera etc.,"Cámara manual, etc.",Навести камеру и т.п.,Tryb śledzenia itd.,,,"Câmera Fixada, etc.",타겟 카메라 등,目標視角等,目标视角等,,,,,,,,كاميرا الهدف، إلخ,,,,,,,,,,,
8f342ee9-ac5f-435a-9fac-c332bde4c862,2227403673,Option_Me_Item_020_04,カメラ操作,Camera Controls,Commandes caméra,Comandi visuale,Kamerasteuerung,Controles de la cámara,Управление камерой,Sterowanie kamerą,,,Controles de câmera,카메라 조작,操作視角,操作视角,,,,,,,,عناصر تحكم الكاميرا,,,,,,,,,,,
39bdb0ab-67a9-42cb-945e-92490e646f5e,264208373,Option_Me_Item_021_01,アイテムウィンドウ,Item Bar,Barre d'objets,Barra oggetti,Objektleiste,Barra de objetos,Панель предметов,Pasek przedmiotów,,,Barra de Itens,아이템 창,道具視窗,道具栏,,,,,,,,شريط العناصر,,,,,,,,,,,
e698f8d6-bdbc-468a-b5f4-362b230d4076,3061474769,Option_Me_Item_021_02,アクションスライダー,Action Bar,Barre d'action,Barra azioni,Aktionsleiste,Barra de acciones,Шкала действий,Pasek akcji,,,Barra de Ação,액션 슬라이더,動作快捷鍵,动作快捷栏,,,,,,,,شريط الحركات,,,,,,,,,,,
fe9ca18d-9533-4e59-9341-4ae9fab3dab3,1541879936,Option_Me_Item_021_03,ショートカットのパレット,Shortcut Menus,Raccourcis menus,Menu oggetti rapidi,Kurzbefehl-Menüs,Menú de atajos,Меню быстрого доступа,Menu skrótów,,,Menu de Atalhos,숏컷 팔레트,捷徑快捷盤,快捷轮盘,,,,,,,,قائمة الاختصارات,,,,,,,,,,,
e1cfe438-0f05-4b02-9f39-be24280858c6,1126039649,Option_Me_Item_022_01,タイプ１,Type 1,Type 1,Tipo 1,Typ 1,Tipo 1,Тип 1,Typ 1,,,Tipo 1,타입 1,類型1,类型1,,,,,,,,النوع 1,,,,,,,,,,,
140b1ac0-8efa-4901-a5f8-dcf8d12fa493,2609594098,Option_Me_Item_022_02,タイプ２,Type 2,Type 2,Tipo 2,Typ 2,Tipo 2,Тип 2,Typ 2,,,Tipo 2,타입 2,類型2,类型2,,,,,,,,النوع 2,,,,,,,,,,,
9d7ffd28-fd04-4adf-b2da-3ef2e4905899,3643766582,Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03,<COLOR FF0000>#Rejected#</COLOR> Option_Me_Item_022_03
